source,target,tgt_lng
"Particle Swarm Optimization","粒子群优化算法","zh"
"Partition","划分","zh"
"Partition Function","配分函数","zh"
"Path","路径","zh"
"Pattern","模式","zh"
"Pattern Recognition","模式识别","zh"
"Penalty Term","罚项","zh"
"Perceptron","感知机","zh"
"Performance Measure","性能度量","zh"
"Periodic","周期的","zh"
"Permutation Invariant","置换不变性","zh"
"Perplexity","困惑度","zh"
"Persistent Contrastive Divergence","持续性对比散度","zh"
"Phoneme","音素","zh"
"Phonetic","语音","zh"
"Pictorial Structure","图形结构","zh"
"Piecewise","分段","zh"
"Piecewise Constant Decay","分段常数衰减","zh"
"Pipeline","流水线","zh"
"Plate Notation","板块表示","zh"
"Plug And Play Generative Network","即插即用生成网络","zh"
"Plurality Voting","相对多数投票","zh"
"Point Estimator","点估计","zh"
"Pointer Network","指针网络","zh"
"Polarity Detection","极性检测","zh"
"Policy","策略","zh"
"Policy Evaluation","策略评估","zh"
"Policy Gradient","策略梯度","zh"
"Policy Improvement","策略改进","zh"
"Policy Iteration","策略迭代","zh"
"Policy Search","策略搜索","zh"
"Polynomial Basis Function","多项式基函数","zh"
"Polynomial Kernel Function","多项式核函数","zh"
"Polysemy","一词多义性","zh"
"Pool","汇聚","zh"
"Pooling","汇聚","zh"
"Pooling Function","汇聚函数","zh"
"Pooling Layer","汇聚层","zh"
"Poor Conditioning","病态条件","zh"
"Position Embedding","位置嵌入","zh"
"Positional Encoding","位置编码","zh"
"Positive Class","正类","zh"
"Positive Definite","正定","zh"
"Positive Definite Kernel Function","正定核函数","zh"
"Positive Definite Matrix","正定矩阵","zh"
"Positive Part Function","正部函数","zh"
"Positive Phase","正相","zh"
"Positive Recurrent","正常返的","zh"
"Positive Sample","正例","zh"
"Positive Semidefinite","半正定","zh"
"Positive-Semidefinite Matrix","半正定矩阵","zh"
"Post-Hoc Test","后续检验","zh"
"Post-Pruning","后剪枝","zh"
"Posterior Distribution","后验分布","zh"
"Posterior Inference","后验推断","zh"
"Posterior Probability","后验概率","zh"
"Potential Function","势函数","zh"
"Power Method","幂法","zh"
"PR Curve","P-R曲线","zh"
"Pre-Trained Initialization","预训练初始化","zh"
"Pre-Training","预训练","zh"
"Precision","查准率","zh"
"Precision Matrix","精度矩阵","zh"
"Predictive Sparse Decomposition","预测稀疏分解","zh"
"Prepruning","预剪枝","zh"
"Pretrained Language Model","预训练语言模型","zh"
"Primal Problem","主问题","zh"
"Primary Visual Cortex","初级视觉皮层","zh"
"Principal Component Analysis","主成分分析","zh"
"Principle Of Multiple Explanations","多释原则","zh"
"Prior","先验","zh"
"Prior Knowledge","先验知识","zh"
"Prior Probability","先验概率","zh"
"Prior Probability Distribution","先验概率分布","zh"
"Prior Pseudo-Counts","伪计数","zh"
"Prior Shift","先验偏移","zh"
"Priority Rule","优先级规则","zh"
"Probabilistic Context-Free Grammar","概率上下文无关文法","zh"
"Probabilistic Density Estimation","概率密度估计","zh"
"Probabilistic Generative Model","概率生成模型","zh"
"Probabilistic Graphical Model","概率图模型","zh"
"Probabilistic Latent Semantic Analysis","概率潜在语义分析","zh"
"Probabilistic Latent Semantic Indexing","概率潜在语义索引","zh"
"Probabilistic Model","概率模型","zh"
"Probabilistic PCA","概率PCA","zh"
"Probabilistic Undirected Graphical Model","概率无向图模型","zh"
"Probability","概率","zh"
"Probability Density Function","概率密度函数","zh"
"Probability Distribution","概率分布","zh"
"Probability Mass Function","概率质量函数","zh"
"Probability Model Estimation","概率模型估计","zh"
"Probably Approximately Correct","概率近似正确","zh"
"Product of Expert","专家之积","zh"
"Product Rule","乘法法则","zh"
"Properly PAC Learnable","恰PAC可学习","zh"
"Proportional","成比例","zh"
"Proposal Distribution","提议分布","zh"
"Propositional Atom","原子命题","zh"
"Propositional Rule","命题规则","zh"
"Prototype-Based Clustering","原型聚类","zh"
"Proximal Gradient Descent","近端梯度下降","zh"
"Pruning","剪枝","zh"
"Pseudo-Label","伪标记","zh"
"Pseudolikelihood","伪似然","zh"
"Q Function","Q函数","zh"
"Q-Learning","Q学习","zh"
"Q-Network","Q网络","zh"
"Quadratic Loss Function","平方损失函数","zh"
"Quadratic Programming","二次规划","zh"
"Quadrature Pair","象限对","zh"
"Quantized Neural Network","量子化神经网络","zh"
"Quantum Computer","量子计算机","zh"
"Quantum Computing","量子计算","zh"
"Quantum Machine Learning","量子机器学习","zh"
"Quantum Mechanics","量子力学","zh"
"Quasi Newton Method","拟牛顿法","zh"
"Quasi-Concave","拟凹","zh"
"Query","查询","zh"
"Query Vector","查询向量","zh"
"Query-Key-Value","查询-键-值","zh"
"Radial Basis Function","径向基函数","zh"
"Random Access Memory","随机访问存储","zh"
"Random Field","随机场","zh"
"Random Forest Algorithm","随机森林算法","zh"
"Random Forest","随机森林","zh"
"Random Initialization","随机初始化","zh"
"Random Sampling","随机采样","zh"
"Random Search","随机搜索","zh"
"Random Subspace","随机子空间","zh"
"Random Variable","随机变量","zh"
"Random Walk","随机游走","zh"
"Range","值域","zh"
"Rank","秩","zh"
"Ratio Matching","比率匹配","zh"
"Raw Feature","原始特征","zh"
"Re-Balance","再平衡","zh"
"Re-Sampling","重采样","zh"
"Re-Weighting","重赋权","zh"
"Readout Function","读出函数","zh"
"Real-Time Recurrent Learning","实时循环学习","zh"
"Recall","查全率","zh"
"Recall-Oriented Understudy For Gisting Evaluation","ROUGE","zh"
"Receiver Operating Characteristic","受试者工作特征","zh"
"Receptive Field","感受野","zh"
"Recirculation","再循环","zh"
"Recognition Weight","认知权重","zh"
"Recommender System","推荐系统","zh"
"Reconstruction","重构","zh"
"Reconstruction Error","重构误差","zh"
"Rectangular Diagonal Matrix","矩形对角矩阵","zh"
"Rectified Linear","整流线性","zh"
"Rectified Linear Transformation","整流线性变换","zh"
"Rectified Linear Unit","修正线性单元","zh"
"Rectifier Network","整流网络","zh"
"Recurrence","循环","zh"
"Recurrent Convolutional Network","循环卷积网络","zh"
"Recurrent Multi-Layer Perceptron","循环多层感知器","zh"
"Recurrent Network","循环网络","zh"
"Recurrent Neural Network","循环神经网络","zh"
"Recursive Neural Network","递归神经网络","zh"
"Reducible","可约的","zh"
"Redundant Feature","冗余特征","zh"
"Reference Model","参考模型","zh"
"Region","区域","zh"
"Regression","回归","zh"
"Regularization","正则化","zh"
"Regularizer","正则化项","zh"
"Reinforcement Learning","强化学习","zh"
"Rejection Sampling","拒绝采样","zh"
"Relation","关系","zh"
"Relational Database","关系型数据库","zh"
"Relative Entropy","相对熵","zh"
"Relevant Feature","相关特征","zh"
"Reparameterization","再参数化","zh"
"Reparametrization Trick","重参数化技巧","zh"
"Replay Buffer","经验池","zh"
"Representation","表示","zh"
"Representation Learning","表示学习","zh"
"Representational Capacity","表示容量","zh"
"Representer Theorem","表示定理","zh"
"Reproducing Kernel Hilbert Space","再生核希尔伯特空间","zh"
"Rescaling","再缩放","zh"
"Reservoir Computing","储层计算","zh"
"Reset Gate","重置门","zh"
"Residual Blocks","残差块","zh"
"Residual Connection","残差连接","zh"
"Residual Mapping","残差映射","zh"
"Residual Network","残差网络","zh"
"Residual Unit","残差单元","zh"
"Residue Function","残差函数","zh"
"Resolution Quotient","归结商","zh"
"Restricted Boltzmann Machine","受限玻尔兹曼机","zh"
"Restricted Isometry Property","限定等距性","zh"
"Return","总回报","zh"
"Reverse Correlation","反向相关","zh"
"Reverse KL Divergence","逆向KL散度","zh"
"Reverse Mode Accumulation","反向模式累加","zh"
"Reversible Markov Chain","可逆马尔可夫链","zh"
"Reward","奖励","zh"
"Reward Function","奖励函数","zh"
"Ridge Regression","岭回归","zh"
"Riemann Integral","黎曼积分","zh"
"Right Eigenvector","右特征向量","zh"
"Right Singular Vector","右奇异向量","zh"
"Risk","风险","zh"
"Risk Function","风险函数","zh"
"Robustness","稳健性","zh"
"Root Node","根结点","zh"
"Round-Off Error","舍入误差","zh"
"Row","行","zh"
"Rule Engine","规则引擎","zh"
"Rule Learning","规则学习","zh"
"S-Fold Cross Validation","S 折交叉验证","zh"
"Saccade","扫视","zh"
"Saddle Point","鞍点","zh"
"Saddle-Free Newton Method","无鞍牛顿法","zh"
"Saliency Map","显著图","zh"
"Saliency-Based Attention","基于显著性的注意力","zh"
"Same","相同","zh"
"Sample","样本","zh"
"Sample Complexity","样本复杂度","zh"
"Sample Mean","样本均值","zh"
"Sample Space","样本空间","zh"
"Sample Variance","样本方差","zh"
"Sampling","采样","zh"
"Sampling Method","采样法","zh"
"Saturate","饱和","zh"
"Saturating Function","饱和函数","zh"
"Scalar","标量","zh"
"Scale Invariance","尺度不变性","zh"
"Scatter Matrix","散布矩阵","zh"
"Scheduled Sampling","计划采样","zh"
"Score","得分","zh"
"Score Function","评分函数","zh"
"Score Matching","分数匹配","zh"
"Second Derivative","二阶导数","zh"
"Second Derivative Test","二阶导数测试","zh"
"Second Layer","第二层","zh"
"Second-Order Method","二阶方法","zh"
"Selective Attention","选择性注意力","zh"
"Selective Ensemble","选择性集成","zh"
"Self Information","自信息","zh"
"Self-Attention","自注意力","zh"
"Self-Attention Model","自注意力模型","zh"
"Self-Contrastive Estimation","自对比估计","zh"
"Self-Driving","自动驾驶","zh"
"Self-Gated","自门控","zh"
"Self-Organizing Map","自组织映射网","zh"
"Self-Taught Learning","自学习","zh"
"Self-Training","自训练","zh"
"Semantic Gap","语义鸿沟","zh"
"Semantic Hashing","语义哈希","zh"
"Semantic Segmentation","语义分割","zh"
"Semantic Similarity","语义相似度","zh"
"Semi-Definite Programming","半正定规划","zh"
"Semi-Naive Bayes Classifiers","半朴素贝叶斯分类器","zh"
"Semi-Restricted Boltzmann Machine","半受限玻尔兹曼机","zh"
"Semi-Supervised","半监督","zh"
"Semi-Supervised Clustering","半监督聚类","zh"
"Semi-Supervised Learning","半监督学习","zh"
"Semi-Supervised Support Vector Machine","半监督支持向量机","zh"
"Sentiment Analysis","情感分析","zh"
"Separable","可分离的","zh"
"Separate","分离的","zh"
"Separating Hyperplane","分离超平面","zh"
"Separation","分离","zh"
"Sequence Labeling","序列标注","zh"
"Sequence To Sequence Learning","序列到序列学习","zh"
"Sequence-To-Sequence","序列到序列","zh"
"Sequential Covering","序贯覆盖","zh"
"Sequential Minimal Optimization","序列最小最优化","zh"
"Sequential Model-Based Optimization","时序模型优化","zh"
"Sequential Partitioning","顺序分区","zh"
"Setting","情景","zh"
"Shadow Circuit","浅度回路","zh"
"Shallow Learning","浅层学习","zh"
"Shannon Entropy","香农熵","zh"
"Shannons","香农","zh"
"Shaping","塑造","zh"
"Sharp Minima","尖锐最小值","zh"
"Shattering","打散","zh"
"Shift Invariance","平移不变性","zh"
"Short-Term Memory","短期记忆","zh"
"Shortcut Connection","直连边","zh"
"Shortlist","短列表","zh"
"Siamese Network","孪生网络","zh"
"Sigmoid","Sigmoid（一种激活函数）","zh"
"Sigmoid Belief Network","Sigmoid信念网络","zh"
"Sigmoid Curve","S 形曲线","zh"
"Sigmoid Function","Sigmoid函数","zh"
"Sign Function","符号函数","zh"
"Signed Distance","带符号距离","zh"
"Similarity","相似度","zh"
"Similarity Measure","相似度度量","zh"
"Simple Cell","简单细胞","zh"
"Simple Recurrent Network","简单循环网络","zh"
"Simple Recurrent Neural Network","简单循环神经网络","zh"
"Simplex","单纯形","zh"
"Simulated Annealing","模拟退火","zh"
"Simultaneous Localization And Mapping","即时定位与地图构建","zh"
"Single Component Metropolis-Hastings","单分量Metropolis-Hastings","zh"
"Single Linkage","单连接","zh"
"Singular","奇异的","zh"
"Singular Value","奇异值","zh"
"Singular Value Decomposition","奇异值分解","zh"
"Singular Vector","奇异向量","zh"
"Size","大小","zh"
"Skip Connection","跳跃连接","zh"
"Skip-Gram Model","跳元模型","zh"
"Skip-Gram Model With Negative Sampling","跳元模型加负采样","zh"
"Slack Variable","松弛变量","zh"
"Slow Feature Analysis","慢特征分析","zh"
"Slowness Principle","慢性原则","zh"
"Smoothing","平滑","zh"
"Smoothness Prior","平滑先验","zh"
"Soft Attention Mechanism","软性注意力机制","zh"
"Soft Clustering","软聚类","zh"
"Soft Margin","软间隔","zh"
"Soft Margin Maximization","软间隔最大化","zh"
"Soft Target","软目标","zh"
"Soft Voting","软投票","zh"
"Softmax","Softmax","zh"
"Softmax Function","Softmax函数","zh"
"Softmax Regression","Softmax回归","zh"
"Softmax Unit","Softmax单元","zh"
"Softplus","Softplus","zh"
"Softplus Function","Softplus函数","zh"
"Source Domain","源领域","zh"
"Span","张成子空间","zh"
"Sparse","稀疏","zh"
"Sparse Activation","稀疏激活","zh"
"Sparse Auto-Encoder","稀疏自编码器","zh"
"Sparse Coding","稀疏编码","zh"
"Sparse Connectivity","稀疏连接","zh"
"Sparse Initialization","稀疏初始化","zh"
"Sparse Interactions","稀疏交互","zh"
"Sparse Representation","稀疏表示","zh"
"Sparse Weights","稀疏权重","zh"
"Sparsity","稀疏性","zh"
"Specialization","特化","zh"
"Spectral Clustering","谱聚类","zh"
"Spectral Radius","谱半径","zh"
"Speech Recognition","语音识别","zh"
"Sphering","Sphering","zh"
"Spike And Slab","尖峰和平板","zh"
"Spike And Slab RBM","尖峰和平板RBM","zh"
"Spiking Neural Nets","脉冲神经网络","zh"
"Splitting Point","切分点","zh"
"Splitting Variable","切分变量","zh"
"Spurious Modes","虚假模态","zh"
"Square","方阵","zh"
"Square Loss","平方损失","zh"
"Squared Euclidean Distance","欧氏距离平方","zh"
"Squared Exponential","平方指数","zh"
"Squashing Function","挤压函数","zh"
"Stability","稳定性","zh"
"Stability-Plasticity Dilemma","可塑性-稳定性窘境","zh"
"Stable Base Learner","稳定基学习器","zh"
"Stacked Auto-Encoder","堆叠自编码器","zh"
"Stacked Deconvolutional Network","堆叠解卷积网络","zh"
"Stacked Recurrent Neural Network","堆叠循环神经网络","zh"
"Standard Basis","标准基","zh"
"Standard Deviation","标准差","zh"
"Standard Error","标准差","zh"
"Standard Normal Distribution","标准正态分布","zh"
"Standardization","标准化","zh"
"State","状态","zh"
"State Action Reward State Action","SARSA算法","zh"
"State Sequence","状态序列","zh"
"State Space","状态空间","zh"
"State Value Function","状态值函数","zh"
"State-Action Value Function","状态-动作值函数","zh"
"Statement","声明","zh"
"Static Computational Graph","静态计算图","zh"
"Static Game","静态博弈","zh"
"Stationary","平稳的","zh"
"Stationary Distribution","平稳分布","zh"
"Stationary Point","驻点","zh"
"Statistic Efficiency","统计效率","zh"
"Statistical Learning","统计学习","zh"
"Statistical Learning Theory","统计学习理论","zh"
"Statistical Machine Learning","统计机器学习","zh"
"Statistical Relational Learning","统计关系学习","zh"
"Statistical Simulation Method","统计模拟方法","zh"
"Statistics","统计量","zh"
"Status Feature Function","状态特征函数","zh"
"Steepest Descent","最速下降法","zh"
"Step Decay","阶梯衰减","zh"
"Stochastic","随机","zh"
"Stochastic Curriculum","随机课程","zh"
"Stochastic Dynamical System","随机动力系统","zh"
"Stochastic Gradient Ascent","随机梯度上升","zh"
"Stochastic Gradient Descent","随机梯度下降","zh"
"Stochastic Gradient Descent With Warm Restarts","带热重启的随机梯度下降","zh"
"Stochastic Matrix","随机矩阵","zh"
"Stochastic Maximum Likelihood","随机最大似然","zh"
"Stochastic Neighbor Embedding","随机近邻嵌入","zh"
"Stochastic Neural Network","随机神经网络","zh"
"Stochastic Policy","随机性策略","zh"
"Stochastic Process","随机过程","zh"
"Stop Words","停用词","zh"
"Stratified Sampling","分层采样","zh"
"Stream","流","zh"
"Stride","步幅","zh"
"String Kernel Function","字符串核函数","zh"
"Strong Classifier","强分类器","zh"
"Strong Duality","强对偶性","zh"
"Strongly Connected Graph","强连通图","zh"
"Strongly Learnable","强可学习","zh"
"Structural Risk","结构风险","zh"
"Structural Risk Minimization","结构风险最小化","zh"
"Structure Learning","结构学习","zh"
"Structured Learning","结构化学习","zh"
"Structured Probabilistic Model","结构化概率模型","zh"
"Structured Variational Inference","结构化变分推断","zh"
"Student Network","学生网络","zh"
"Sub-Optimal","次最优","zh"
"Subatomic","亚原子","zh"
"Subsample","子采样","zh"
"Subsampling","下采样","zh"
"Subsampling Layer","子采样层","zh"
"Subset Evaluation","子集评价","zh"
"Subset Search","子集搜索","zh"
"Subspace","子空间","zh"
"Substitution","置换","zh"
"Successive Halving","逐次减半","zh"
"Sum Rule","求和法则","zh"
"Sum-Product","和积","zh"
"Sum-Product Network","和-积网络","zh"
"Super-Parent","超父","zh"
"Supervised","监督","zh"
"Supervised Learning","监督学习","zh"
"Supervised Learning Algorithm","监督学习算法","zh"
"Supervised Model","监督模型","zh"
"Supervised Pretraining","监督预训练","zh"
"Support Vector","支持向量","zh"
"Support Vector Expansion","支持向量展式","zh"
"Support Vector Machine","支持向量机","zh"
"Support Vector Regression","支持向量回归","zh"
"Surrogat Loss","替代损失","zh"
"Surrogate Function","替代函数","zh"
"Surrogate Loss Function","代理损失函数","zh"
"Symbol","符号","zh"
"Symbolic Differentiation","符号微分","zh"
"Symbolic Learning","符号学习","zh"
"Symbolic Representation","符号表示","zh"
"Symbolism","符号主义","zh"
"Symmetric","对称","zh"
"Symmetric Matrix","对称矩阵","zh"
"Synonymy","多词一义性","zh"
"Synset","同义词集","zh"
"Synthetic Feature","合成特征","zh"
"T-Distribution Stochastic Neighbour Embedding","T分布随机近邻嵌入","zh"
"Tabular Value Function","表格值函数","zh"
"Tagging","标注","zh"
"Tangent Distance","切面距离","zh"
"Tangent Plane","切平面","zh"
"Tangent Propagation","正切传播","zh"
"Target","目标","zh"
"Target Domain","目标领域","zh"
"Taylor","泰勒","zh"
"Taylor's Formula","泰勒公式","zh"
"Teacher Forcing","强制教学","zh"
"Teacher Network","教师网络","zh"
"Temperature","温度","zh"
"Tempered Transition","回火转移","zh"
"Tempering","回火","zh"
"Temporal-Difference Learning","时序差分学习","zh"
"Tensor","张量","zh"
"Tensor Processing Units","张量处理单元","zh"
"Term Frequency-Inverse Document Frequency","单词频率-逆文本频率","zh"
"Terminal State","终止状态","zh"
"Test Data","测试数据","zh"
"Test Error","测试误差","zh"
"Test Sample","测试样本","zh"
"Test Set","测试集","zh"
"The Collider Case","碰撞情况","zh"
"Threshold","阈值","zh"
"Threshold Logic Unit","阈值逻辑单元","zh"
"Threshold-Moving","阈值移动","zh"
"Tied Weight","捆绑权重","zh"
"Tikhonov Regularization","Tikhonov正则化","zh"
"Tiled Convolution","平铺卷积","zh"
"Time Delay Neural Network","时延神经网络","zh"
"Time Homogenous Markov Chain","时间齐次马尔可夫链","zh"
"Time Step","时间步","zh"
"Toeplitz Matrix","Toeplitz矩阵","zh"
"Token","词元","zh"
"Tokenize","词元化","zh"
"Tokenization","词元化","zh"
"Tokenizer","词元分析器","zh"
"Tolerance","容差","zh"
"Top-Down","自顶向下","zh"
"Topic","话题","zh"
"Topic Model","话题模型","zh"
"Topic Modeling","话题分析","zh"
"Topic Vector Space","话题向量空间","zh"
"Topic Vector Space Model","话题向量空间模型","zh"
"Topic-Document Matrix","话题-文本矩阵","zh"
"Topographic ICA","地质ICA","zh"
"Total Cost","总体代价","zh"
"Trace","迹","zh"
"Tractable","易处理的","zh"
"Training","训练","zh"
"Training Data","训练数据","zh"
"Training Error","训练误差","zh"
"Training Instance","训练实例","zh"
"Training Sample","训练样本","zh"
"Training Set","训练集","zh"
"Trajectory","轨迹","zh"
"Transcribe","转录","zh"
"Transcription System","转录系统","zh"
"Transductive Learning","直推学习","zh"
"Transductive Transfer Learning","直推迁移学习","zh"
"Transfer Learning","迁移学习","zh"
"Transform","变换","zh"
"Transformer","Transformer","zh"
"Transformer Model","Transformer模型","zh"
"Transition","转移","zh"
"Transition Kernel","转移核","zh"
"Transition Matrix","状态转移矩阵","zh"
"Transition Probability","转移概率","zh"
"Transpose","转置","zh"
"Transposed Convolution","转置卷积","zh"
"Tree-Structured LSTM","树结构的长短期记忆模型","zh"
"Treebank","树库","zh"
"Trial","试验","zh"
"Trial And Error","试错","zh"
"Triangle Inequality","三角不等式","zh"
"Triangular Cyclic Learning Rate","三角循环学习率","zh"
"Triangulate","三角形化","zh"
"Triangulated Graph","三角形化图","zh"
"Trigram","三元语法","zh"
"True Negative","真负例","zh"
"True Positive","真正例","zh"
"True Positive Rate","真正例率","zh"
"Truncated Singular Value Decomposition","截断奇异值分解","zh"
"Truncation Error","截断误差","zh"
"Turing Completeness","图灵完备","zh"
"Turing Machine","图灵机","zh"
"Twice-Learning","二次学习","zh"
"Two-Dimensional Array","二维数组","zh"
"Ugly Duckling Theorem","丑小鸭定理","zh"
"Unbiased","无偏","zh"
"Unbiased Estimate","无偏估计","zh"
"Unbiased Sample Variance","无偏样本方差","zh"
"Unconstrained Optimization","无约束优化","zh"
"Undercomplete","欠完备","zh"
"Underdetermined","欠定的","zh"
"Underestimation","欠估计","zh"
"Underfitting","欠拟合","zh"
"Underfitting Regime","欠拟合机制","zh"
"Underflow","下溢","zh"
"Underlying","潜在","zh"
"Underlying Cause","潜在成因","zh"
"Undersampling","欠采样","zh"
"Understandability","可理解性","zh"
"Undirected","无向","zh"
"Undirected Graph","无向图","zh"
"Undirected Graphical Model","无向图模型","zh"
"Undirected Model","无向模型","zh"
"Unequal Cost","非均等代价","zh"
"Unfolded Graph","展开图","zh"
"Unfolding","展开","zh"
"Unidirectional Language Model","单向语言模型","zh"
"Unification","合一","zh"
"Uniform Distribution","均匀分布","zh"
"Uniform Sampling","均匀采样","zh"
"Uniform Stability","均匀稳定性","zh"
"Unigram","一元语法","zh"
"Unimodal","单峰值","zh"
"Unit","单元","zh"
"Unit Norm","单位范数","zh"
"Unit Test","单元测试","zh"
"Unit Variance","单位方差","zh"
"Unit Vector","单位向量","zh"
"Unit-Step Function","单位阶跃函数","zh"
"Unitary Matrix","酉矩阵","zh"
"Univariate Decision Tree","单变量决策树","zh"
"Universal Approximation Theorem","通用近似定理","zh"
"Universal Approximator","通用近似器","zh"
"Universal Function Approximator","通用函数近似器","zh"
"Unknown Token","未知词元","zh"
"Unlabeled","未标记","zh"
"Unnormalized Probability Function","未规范化概率函数","zh"
"Unprojection","反投影","zh"
"Unshared Convolution","非共享卷积","zh"
"Unsupervised","无监督","zh"
"Unsupervised Feature Learning","无监督特征学习","zh"
"Unsupervised Layer-Wise Training","无监督逐层训练","zh"
"Unsupervised Learning Algorithm","无监督学习算法","zh"
"Unsupervised Learning","无监督学习","zh"
"Unsupervised Pretraining","无监督预训练","zh"
"Update Gate","更新门","zh"
"Update Model Parameter","迭代模型参数","zh"
"Upper Confidence Bounds","上置信界限","zh"
"Upsampling","上采样","zh"
"V-Structure","V型结构","zh"
"Valid","有效","zh"
"Validation Set","验证集","zh"
"Validity Index","有效性指标","zh"
"Value Function","价值函数","zh"
"Value Function Approximation","值函数近似","zh"
"Value Iteration","值迭代","zh"
"Vanishing And Exploding Gradient Problem","梯度消失与爆炸问题","zh"
"Vanishing Gradient","梯度消失","zh"
"Vanishing Gradient Problem","梯度消失问题","zh"
"Vapnik-Chervonenkis Dimension","VC维","zh"
"Variable Elimination","变量消去","zh"
"Variance","方差","zh"
"Variance Reduction","方差减小","zh"
"Variance Scaling","方差缩放","zh"
"Variational Autoencoder","变分自编码器","zh"
"Variational Bayesian","变分贝叶斯","zh"
"Variational Derivative","变分导数","zh"
"Variational Distribution","变分分布","zh"
"Variational Dropout","变分暂退法","zh"
"Variational EM Algorithm","变分EM算法","zh"
"Variational Free Energy","变分自由能","zh"
"Variational Inference","变分推断","zh"
"Vector","向量","zh"
"Vector Space","向量空间","zh"
"Vector Space Model","向量空间模型","zh"
"Vectorization","向量化","zh"
"Version Space","版本空间","zh"
"Virtual Adversarial Example","虚拟对抗样本","zh"
"Virtual Adversarial Training","虚拟对抗训练","zh"
"Visible Layer","可见层","zh"
"Visible Variable","可见变量","zh"
"Viterbi Algorithm","维特比算法","zh"
"Vocabulary","词表","zh"
"Von Neumann Architecture","冯 · 诺伊曼架构","zh"
"Voted Perceptron","投票感知器","zh"
"Wake Sleep","醒眠","zh"
"Warp","线程束","zh"
"Wasserstein Distance","Wasserstein距离","zh"
"Wasserstein GAN","Wasserstein生成对抗网络","zh"
"Weak Classifier","弱分类器","zh"
"Weak Duality","弱对偶性","zh"
"Weak Learner","弱学习器","zh"
"Weakly Learnable","弱可学习","zh"
"Weakly Supervised Learning","弱监督学习","zh"
"Weight","权重","zh"
"Weight Decay","权重衰减","zh"
"Weight Normalization","权重规范化","zh"
"Weight Scaling Inference Rule","权重比例推断规则","zh"
"Weight Sharing","权共享","zh"
"Weight Space Symmetry","权重空间对称性","zh"
"Weight Vector","权值向量","zh"
"Weighted Distance","加权距离","zh"
"Weighted Voting","加权投票","zh"
"Whitening","白化","zh"
"Wide Convolution","宽卷积","zh"
"Width","宽度","zh"
"Winner-Take-All","胜者通吃","zh"
"Within-Class Scatter Matrix","类内散度矩阵","zh"
"Word Embedding","词嵌入","zh"
"Word Sense Disambiguation","词义消歧","zh"
"Word Vector","词向量","zh"
"Word Vector Space Model","单词向量空间模型","zh"
"Word-Document Matrix","单词-文本矩阵","zh"
"Word-Topic Matrix","单词-话题矩阵","zh"
"Working Memory","工作记忆","zh"
"Wrapper Method","包裹式方法","zh"
"Z-Score Normalization","Z值规范化","zh"
"Zero Mean","零均值","zh"
"Zero Padding","零填充","zh"
"Zero Tensor","零张量","zh"
"Zero-Centered","零中心化的","zh"
"Zero-Data Learning","零数据学习","zh"
"Zero-Shot Learning","零试学习","zh"
"Zipf's Law","齐普夫定律","zh"
"ε-Greedy Method","ε-贪心法","zh"
"2D Qsar Models","二维定量构效关系模型","zh"
"3D Cartesian","三维笛卡尔（坐标）","zh"
"3D Conformation","三维构象","zh"
"3D Grids","三维（坐标）网格","zh"
"3D Qsar Models","三维定量构效关系模型","zh"
"Aberration-Corrected","像差矫正","zh"
"Active Machine Learning","主动机器学习","zh"
"Adaptive Fuzzy Neural Network","自适应模糊神经网络","zh"
"Adaptive Sampling","自适应采样","zh"
"Admet Evaluation","毒性评估","zh"
"Alexnet","AlexNet","zh"
"Alphago","阿尔法狗","zh"
"Adaptive Neuro Fuzzy Inference System","自适应神经模糊推理系统","zh"
"Approximate Probabilistic Models","近似概率模型","zh"
"Artificial Neurons","人工神经元","zh"
"Artificial Synapses","人工突触","zh"
"Attention-Based","基于注意力（机制）的","zh"
"Automating Synthetic Planning","自动化综合规划","zh"
"Automation","自动化","zh"
"Autonomous Decision-Making","自主决策","zh"
"B-Clustering Algorithms","B树聚类算法","zh"
"Balanced Accuracy","平衡精度","zh"
"Bandgap Energy","带隙能量","zh"
"Baseline Test","基准测试","zh"
"Basin Hopping","盆地跳跃（算法）","zh"
"Bayesian Approach","贝叶斯方法","zh"
"Bayesian Induction","贝叶斯归纳","zh"
"Bayesian Mcmc Methods","贝叶斯马尔可夫链蒙特卡洛方法","zh"
"Bayesian Methods","贝叶斯方法","zh"
"Bayesian Molecular","贝叶斯分子（设计方法）","zh"
"Bayesian Prior","贝叶斯先验","zh"
"Bayesian Program Learning","贝叶斯程序学习","zh"
"Bayesian Regularized Neural Network","贝叶斯正则化神经网络","zh"
"Beam-Scanning","波束扫描","zh"
"Best Separates","最优分离","zh"
"Biased Dataset","有偏数据集","zh"
"Bit Collisions","字节碰撞","zh"
"Black Box","黑盒子","zh"
"Black-Box Attack","黑盒攻击","zh"
"Bonding Environments","成键环境","zh"
"Bonferroni Correction","邦弗朗尼校正","zh"
"Bootstrap Aggregation","引导聚合","zh"
"Broyden–Fletcher–Goldfarb–Shanno","BFGS（算法）","zh"
"Buchwald−Hartwig Cross-Coupling","Buchwald–Hartwig 偶联（反应）","zh"
"C4.5 Algorithm","C4.5 算法","zh"
"Calculation Uncertainties","计算不确定性","zh"
"Canonical Ml Methods","经典机器学习方法","zh"
"Cartesian Distance Vector","笛卡尔距离向量","zh"
"CASP","国际蛋白质结构预测竞赛","zh"
